OBJECT,MJD,RV,HALPHA_INDEX,ERR_HALPHA_INDEX,S_INDEX,ERR_SINDEX,logRHK_INDEX,ERR_logRHK_INDEX,NAI_INDEX,ERR_NAI_INDEX,SHIFT_BARICENTRO_HALPHA,ERR_SHIFT_BAR_HALPHA,SHIFT_BARICENTRO_K,ERR_SHIFT_BAR_K,SHIFT_BARICENTRO_H,ERR_SHIFT_BAR_H,ERR_SHIFT_BAR_D2,ERR_SHIFT_BAR_D2_2,SHIFT_BARICENTRO_D1_2,ERR_SHIFT_BAR_D1_2,MEAN_SLOPE_HALPHA,SIGMA_SLOPE_HALPHA,MEAN_SLOPE_K,SIGMA_SLOPE_K,MEAN_SLOPE_H,SIGMA_SLOPE_H,MEAN_SLOPE_D2,SIGMA_SLOPE_D2,MEAN_SLOPE_D1,SIGMA_SLOPE_D1,DISK_PRESENCE,STy
Gl581,54721.97,-9.75,-0.011473,1.24E-4,0.015711,0.057806,-5.946044,3.632969,0.072463,0.032759,-1.295499,0.249019,-2.992214,0.817418,1.213531,1.042138,0.552434,0.196559,-0.007987,0.402426,2.625377,0.607932,,,10.39385,6.333799,6.102773,0.647474,5.283388,2.027038,1,63.0
Gl581,54610.232,-9.73,-0.006131,1.06E-4,0.032324,0.052389,-5.477758,1.345352,0.082618,0.021914,-1.727527,0.364229,1.016825,0.753426,0.290203,0.727868,0.189396,0.256545,-0.109199,0.2948,2.46321,0.358076,-43.050983,17.03907,-276.654452,16.809702,-1.701759,0.104155,1.160484,1.592813,1,63.0
Gl581,53864.203,-9.74,-0.01273,1.36E-4,0.018935,0.061793,-5.896428,3.413722,0.070506,0.034239,-0.657043,0.226941,0.616577,0.708613,0.161735,0.724574,2.757219,0.276047,-0.057485,0.216597,2.542903,0.456016,3.718677,7.672853,-138.652451,19.675188,0.728722,1.631439,8.716587,2.899925,1,63.0
Gl581,55336.277,-9.73,-0.013061,1.15E-4,0.015081,0.065584,-6.051867,4.354001,0.075598,0.028059,-0.927535,0.153645,-0.346571,0.771379,-0.477194,1.110441,1.944355,0.177951,0.117997,0.657188,3.19001,0.596146,-12.772279,10.93686,-4.566243,4.049679,-1.301328,0.06543,1.977285,2.288761,1,63.0
Gl581,55638.367,-9.76,-0.010875,1.14E-4,0.016399,0.080406,-6.056571,5.376558,0.078635,0.03377,-1.166887,0.244419,0.955406,0.991827,1.595569,1.007991,1.047997,0.35944,-0.121788,0.228563,3.135927,0.676797,-51.294346,10.190249,-18.815661,6.622724,3.648902,0.869376,2.339324,3.333929,1,63.0
Gl581,54566.251,-9.74,-0.011132,1.32E-4,0.013328,0.057956,-6.155191,5.698106,0.069648,0.031264,-1.307811,0.343937,2.029291,1.055898,0.069019,0.966672,0.066731,0.440004,-0.271485,0.323843,2.551579,0.416419,-3.862681,6.295642,26.843434,4.545142,1.578626,2.359366,-2.110881,3.060973,1,63.0
Gl581,54590.309,-9.75,-0.010715,9.7E-5,0.016981,0.062189,-5.975708,3.992572,0.075406,0.026652,-1.529281,0.225811,-0.125353,0.894904,0.308863,0.810486,0.302998,0.365733,-0.209673,0.15166,3.006322,0.586891,-32.258898,26.457285,-16.188259,8.419718,-1.838925,0.512119,-7.197418,1.627268,1,63.0
Gl581,55647.351,-9.75,-0.011792,9.9E-5,0.014289,0.061158,-6.150681,6.326953,0.07619,0.026994,-0.881788,0.258974,1.25603,0.621598,1.651739,1.383368,0.125998,0.363968,0.253647,0.658136,2.266003,0.36864,-17.398903,10.560779,4.661645,3.303162,6.427048,2.213961,2.567123,3.532689,1,63.0
Gl581,54946.232,-9.76,-0.012072,1.33E-4,0.020068,0.054428,-5.754625,2.458595,0.07393,0.035376,-1.257469,0.212369,-0.70958,0.845665,0.165343,0.787335,2.542887,0.346594,-0.074008,0.268005,2.527419,0.356503,-7.028169,6.881312,-48.882998,2.421281,-0.421919,0.754946,5.348026,3.820974,1,63.0
Gl581,53576.03,-9.76,-0.012909,1.13E-4,0.01658,0.072445,-5.970397,3.906521,0.07118,0.029174,-0.823429,0.226889,-0.194077,0.83922,0.366791,0.815015,3.526024,0.527576,-0.020641,0.164964,2.22156,0.333725,10.276491,6.09529,-38.595629,7.149744,6.932862,1.990832,15.420149,3.882281,1,63.0
Gl581,54340.052,-9.75,-0.011414,1.1E-4,0.014365,0.058609,-6.152889,6.098372,0.072592,0.036395,-0.889675,0.230246,-0.883051,0.759349,0.748136,0.881749,1.340162,0.236563,-0.116357,0.206724,2.731664,0.530025,6.68302,4.323376,-7.561502,4.224975,3.058501,0.982682,5.553594,3.122205,1,63.0
Gl581,54639.177,-9.76,-0.011066,1.22E-4,0.011186,0.068138,,,0.066946,0.026722,-1.555953,0.270107,-0.514879,0.987618,-0.316548,1.016713,1.8688,0.263805,-0.120056,0.221654,2.432107,0.432044,31.224786,1.306327,22.611915,2.923657,2.233269,0.604083,23.507327,3.967136,1,63.0
Gl581,54234.135,-9.73,-0.012097,1.25E-4,0.018466,0.07081,-5.909433,3.809535,0.072448,0.03913,-1.051033,0.245986,-0.200439,1.175998,0.808923,0.753383,2.383547,0.233203,-0.09675,0.227075,2.799499,0.461935,-27.576566,13.5951,-42.428249,8.845135,-1.995425,0.106147,3.787864,2.21088,1,63.0
Gl581,55679.203,-9.74,-0.011771,1.43E-4,0.013129,0.067092,-6.20317,7.193686,0.069557,0.040353,-1.152633,0.287793,0.217413,0.923637,-0.05243,0.672181,1.113126,0.276476,0.012026,0.503975,2.715855,0.565974,18.824066,12.279946,,,-2.416003,1.351352,-3.221217,1.952201,1,63.0
Gl581,54297.134,-9.76,-0.010562,1.23E-4,0.014233,0.071247,-5.997686,4.043405,0.071855,0.034218,-1.074091,0.273852,-1.165154,1.013895,0.195429,1.137483,0.667716,0.454717,-0.025713,0.33433,2.612957,0.511817,1.494447,4.220842,-13.855097,4.69534,6.603167,1.4146,13.140449,2.546127,1,63.0
Gl581,53574.015,-9.74,-0.013281,1.32E-4,0.017579,0.065204,-5.981527,5.330119,0.070872,0.031375,-0.916085,0.237067,0.960615,0.94125,0.652487,1.059784,1.486678,0.180684,-0.067622,0.227344,2.760169,0.57285,-6.522399,6.389057,-28.879285,6.762534,7.647887,0.72729,2.627901,1.57421,1,63.0
Gl581,54646.116,-9.76,-0.011316,1.32E-4,0.012491,0.06541,-6.37742,10.662615,0.076973,0.028153,-1.563552,0.286529,0.085995,1.334284,0.770084,0.84042,0.593583,0.286588,-0.258224,0.634828,2.359386,0.388492,11.571099,4.910968,2.323101,4.753321,0.310719,1.391248,17.583262,2.024266,1,63.0
Gl581,54198.346,-9.75,-0.011349,1.26E-4,0.01583,0.080889,-6.115963,7.522865,0.06024,0.068466,-0.915059,0.247308,0.03146,1.064999,-0.386654,1.393434,2.097706,0.225808,-0.146555,0.172852,1.638524,0.308712,24.050308,6.164338,-31.659991,8.017042,1.08645,0.815704,0.240082,2.032006,1,63.0
